timestamp,legacy_floppy5,legacy_floppy1,legacy_floppy7,legacy_floppy4,legacy_floppy8,legacy_floppy0,legacy_floppy9,legacy_floppy3,legacy_floppy2,legacy_floppy6,max,min,avg
13186,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13192,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13195,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13205,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13215,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13228,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13230,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13234,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13241,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13247,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13261,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13267,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13279,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13303,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13306,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13307,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13310,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
13323,0.7033,0.6992,0.6931,0.6911,0.685,0.6972,0.6972,0.7012,0.6992,0.689,0.7033,0.685,0.6956
