timestamp,sb168,sb165,sb160,sb166,sb163,sb161,sb162,sb164,sb169,sb167,max,min,avg
133,0.8171,0.8293,0.822,0.8244,0.8,0.8195,0.8024,0.8415,0.8122,0.839,0.8415,0.8,0.8207
134,0.8171,0.8293,0.822,0.8244,0.8,0.8195,0.8024,0.8415,0.8122,0.8439,0.8439,0.8,0.8212
135,0.8171,0.8293,0.822,0.8244,0.8,0.8195,0.8024,0.8415,0.8122,0.8439,0.8439,0.8,0.8212
136,0.8171,0.8293,0.822,0.8268,0.8,0.8195,0.8024,0.8415,0.8122,0.8439,0.8439,0.8,0.8215
137,0.8171,0.8293,0.822,0.8268,0.8,0.8195,0.8024,0.8415,0.8122,0.8439,0.8439,0.8,0.8215
138,0.822,0.8341,0.822,0.8268,0.8,0.8195,0.8024,0.8415,0.8122,0.8439,0.8439,0.8,0.8224
139,0.822,0.8341,0.822,0.8268,0.8,0.8195,0.8024,0.8415,0.8122,0.8439,0.8439,0.8,0.8224
140,0.822,0.8341,0.822,0.8268,0.8,0.8195,0.8024,0.8415,0.8122,0.8439,0.8439,0.8,0.8224
141,0.822,0.8341,0.822,0.8268,0.8,0.8195,0.8024,0.8415,0.8122,0.8439,0.8439,0.8,0.8224
142,0.822,0.8341,0.822,0.8268,0.8,0.8195,0.8024,0.8415,0.8122,0.8439,0.8439,0.8,0.8224
143,0.822,0.8366,0.822,0.8268,0.8,0.8195,0.8024,0.8415,0.8122,0.8439,0.8439,0.8,0.8227
144,0.822,0.8366,0.822,0.8268,0.8,0.8195,0.8073,0.8415,0.8122,0.8439,0.8439,0.8,0.8232
145,0.822,0.8366,0.822,0.8268,0.8,0.8195,0.8073,0.8415,0.8122,0.8439,0.8439,0.8,0.8232
146,0.822,0.8366,0.8268,0.8268,0.8,0.8195,0.8073,0.8415,0.8146,0.8439,0.8439,0.8,0.8239
147,0.822,0.8366,0.8268,0.8268,0.8,0.8195,0.8073,0.8415,0.8146,0.8439,0.8439,0.8,0.8239
148,0.8244,0.8366,0.8268,0.8317,0.8,0.8195,0.8073,0.8415,0.8146,0.8439,0.8439,0.8,0.8246
149,0.8244,0.8366,0.8268,0.8317,0.8049,0.8195,0.8073,0.8415,0.8146,0.8439,0.8439,0.8049,0.8251
150,0.8244,0.8366,0.8268,0.8317,0.8049,0.8195,0.8073,0.8415,0.8146,0.8439,0.8439,0.8049,0.8251
151,0.8244,0.8366,0.8268,0.8317,0.8049,0.822,0.8073,0.8415,0.8146,0.8439,0.8439,0.8049,0.8254
152,0.8244,0.8366,0.8268,0.8317,0.8049,0.822,0.8098,0.8415,0.8146,0.8439,0.8439,0.8049,0.8256
153,0.8244,0.8366,0.8268,0.8317,0.8049,0.822,0.8098,0.8415,0.8146,0.8439,0.8439,0.8049,0.8256
154,0.8244,0.8366,0.8268,0.8317,0.8049,0.8268,0.8098,0.8415,0.8146,0.8439,0.8439,0.8049,0.8261
155,0.8244,0.8366,0.8268,0.8317,0.8073,0.8268,0.8098,0.8415,0.8146,0.8439,0.8439,0.8073,0.8263
156,0.8244,0.8366,0.8268,0.8317,0.8073,0.8268,0.8098,0.8415,0.8146,0.8439,0.8439,0.8073,0.8263
157,0.8244,0.8415,0.8268,0.8317,0.8073,0.8268,0.8122,0.8415,0.8146,0.8439,0.8439,0.8073,0.8271
