timestamp,hd1,hd9,hd2,hd0,hd5,hd6,hd4,hd8,hd3,hd7,max,min,avg
268,0.1932,0.3591,0.2386,0.1205,0.1591,0.2023,0.3136,0.2386,0.25,0.2295,0.3591,0.1205,0.2304
269,0.1932,0.3591,0.2386,0.1205,0.1591,0.2023,0.3136,0.2386,0.25,0.2295,0.3591,0.1205,0.2304
270,0.1932,0.3591,0.2386,0.1205,0.1591,0.2023,0.3136,0.2386,0.25,0.2295,0.3591,0.1205,0.2304
271,0.1932,0.3591,0.2386,0.1205,0.1591,0.2023,0.3136,0.2386,0.25,0.2295,0.3591,0.1205,0.2304
272,0.1932,0.3659,0.2386,0.1205,0.1591,0.2045,0.3136,0.2386,0.25,0.2295,0.3659,0.1205,0.2314
273,0.1932,0.3659,0.2386,0.1205,0.1591,0.2045,0.3136,0.2386,0.25,0.2295,0.3659,0.1205,0.2314
274,0.1932,0.3659,0.2386,0.1205,0.1591,0.2045,0.3136,0.2386,0.25,0.2295,0.3659,0.1205,0.2314
275,0.1932,0.3659,0.2386,0.1205,0.1591,0.2045,0.3205,0.2386,0.25,0.2295,0.3659,0.1205,0.232
276,0.1932,0.3659,0.2386,0.1205,0.1591,0.2045,0.3205,0.2386,0.25,0.2295,0.3659,0.1205,0.232
277,0.1932,0.3659,0.2386,0.1205,0.1591,0.2045,0.3205,0.2386,0.25,0.2295,0.3659,0.1205,0.232
278,0.1932,0.3659,0.2386,0.1205,0.1591,0.2045,0.3205,0.2386,0.25,0.2295,0.3659,0.1205,0.232
279,0.1932,0.3659,0.2386,0.1205,0.1591,0.2045,0.3205,0.2386,0.25,0.2295,0.3659,0.1205,0.232
280,0.1932,0.3659,0.2386,0.1205,0.1591,0.2045,0.3205,0.2386,0.25,0.2295,0.3659,0.1205,0.232
281,0.1932,0.3659,0.2386,0.1205,0.1591,0.2045,0.3205,0.2386,0.25,0.2295,0.3659,0.1205,0.232
282,0.1932,0.3659,0.2386,0.1205,0.2136,0.2045,0.3205,0.2386,0.25,0.2295,0.3659,0.1205,0.2375
283,0.1932,0.3659,0.2386,0.1409,0.2136,0.2045,0.3205,0.2386,0.25,0.2295,0.3659,0.1409,0.2395
284,0.1932,0.3659,0.2386,0.1409,0.2136,0.2045,0.3205,0.2386,0.25,0.2295,0.3659,0.1409,0.2395
285,0.1932,0.3659,0.2386,0.1409,0.2136,0.2045,0.3205,0.2386,0.25,0.2295,0.3659,0.1409,0.2395
286,0.1932,0.3659,0.2386,0.1409,0.2136,0.2045,0.3205,0.2386,0.25,0.2295,0.3659,0.1409,0.2395
287,0.1932,0.3659,0.2386,0.1409,0.2136,0.2045,0.3205,0.2386,0.25,0.2295,0.3659,0.1409,0.2395
288,0.1932,0.3682,0.2386,0.1409,0.2136,0.2045,0.3205,0.2386,0.25,0.2295,0.3682,0.1409,0.2398
289,0.1932,0.3682,0.2386,0.1409,0.2136,0.2045,0.3205,0.2386,0.25,0.2295,0.3682,0.1409,0.2398
290,0.1932,0.3682,0.2386,0.1409,0.2136,0.2045,0.3205,0.2386,0.25,0.2295,0.3682,0.1409,0.2398
291,0.1932,0.3682,0.2386,0.1409,0.2136,0.2045,0.3205,0.2386,0.25,0.2295,0.3682,0.1409,0.2398
292,0.1932,0.3682,0.2386,0.1409,0.2136,0.2045,0.3205,0.2386,0.25,0.2295,0.3682,0.1409,0.2398
293,0.1932,0.3705,0.2386,0.1409,0.2136,0.2045,0.3205,0.2386,0.25,0.2295,0.3705,0.1409,0.24
294,0.1932,0.3705,0.2386,0.1409,0.2136,0.2045,0.3205,0.2386,0.25,0.2295,0.3705,0.1409,0.24
295,0.1932,0.3705,0.2386,0.1409,0.2136,0.2045,0.3205,0.2386,0.25,0.2295,0.3705,0.1409,0.24
296,0.1932,0.3705,0.2409,0.1409,0.2136,0.2045,0.3205,0.2386,0.25,0.2295,0.3705,0.1409,0.2402
297,0.1932,0.3705,0.2409,0.1409,0.2136,0.2045,0.3205,0.2386,0.25,0.2295,0.3705,0.1409,0.2402
298,0.1932,0.3705,0.2477,0.1409,0.2136,0.2045,0.3205,0.2386,0.25,0.2295,0.3705,0.1409,0.2409
299,0.1932,0.3705,0.2477,0.1409,0.2136,0.2045,0.3205,0.2386,0.25,0.2295,0.3705,0.1409,0.2409
300,0.1932,0.3705,0.2477,0.1409,0.2136,0.2045,0.3205,0.2386,0.25,0.2295,0.3705,0.1409,0.2409
301,0.1955,0.3705,0.2477,0.1409,0.2136,0.2045,0.3205,0.2386,0.25,0.2295,0.3705,0.1409,0.2411
302,0.1955,0.3705,0.2477,0.1409,0.2136,0.2045,0.3205,0.2386,0.25,0.2295,0.3705,0.1409,0.2411
303,0.1955,0.3705,0.25,0.1409,0.2136,0.2045,0.3205,0.2386,0.25,0.2295,0.3705,0.1409,0.2414
304,0.1955,0.3705,0.25,0.1409,0.2136,0.2045,0.3205,0.2386,0.25,0.2295,0.3705,0.1409,0.2414
305,0.1955,0.3705,0.25,0.1409,0.2136,0.2045,0.3205,0.2386,0.25,0.2295,0.3705,0.1409,0.2414
306,0.1955,0.3705,0.25,0.1409,0.2136,0.2045,0.3205,0.2386,0.25,0.2295,0.3705,0.1409,0.2414
307,0.1955,0.3705,0.25,0.1409,0.2136,0.2045,0.3205,0.2386,0.25,0.2295,0.3705,0.1409,0.2414
308,0.1955,0.3705,0.25,0.1409,0.2136,0.2045,0.3205,0.2386,0.25,0.2295,0.3705,0.1409,0.2414
309,0.1955,0.3705,0.25,0.1409,0.2136,0.2045,0.3205,0.2386,0.25,0.2295,0.3705,0.1409,0.2414
