timestamp,legacy_cs4231a4,legacy_cs4231a5,legacy_cs4231a9,legacy_cs4231a8,legacy_cs4231a0,legacy_cs4231a1,legacy_cs4231a2,legacy_cs4231a3,legacy_cs4231a6,max,min,avg
191,0.5,0.5725,0.4783,0.2536,0.558,0.5942,0.529,0.4783,0.5,0.5942,0.2536,0.496
192,0.5,0.5725,0.2971,0.2536,0.558,0.5942,0.529,0.4783,0.5,0.5942,0.2536,0.4759
193,0.5,0.5725,0.2971,0.2536,0.558,0.5942,0.529,0.6159,0.5,0.6159,0.2536,0.4911
194,0.5,0.5725,0.4783,0.5942,0.558,0.6087,0.529,0.6159,0.5,0.6159,0.4783,0.5507
195,0.5,0.5725,0.4783,0.5942,0.558,0.6087,0.5942,0.5435,0.5,0.6087,0.4783,0.5499
196,0.6957,0.5362,0.4783,0.5942,0.558,0.5072,0.5942,0.2971,0.5,0.6957,0.2971,0.529
197,0.6957,0.5362,0.4783,0.5942,0.558,0.5072,0.5942,0.2971,0.4638,0.6957,0.2971,0.525
198,0.6957,0.5362,0.4783,0.5725,0.5725,0.5072,0.5942,0.2971,0.4638,0.6957,0.2971,0.5242
199,0.3043,0.5362,0.4783,0.5725,0.5725,0.558,0.5797,0.2971,0.4638,0.5797,0.2971,0.4847
200,0.3043,0.5217,0.4783,0.5725,0.5725,0.558,0.5797,0.2971,0.4638,0.5797,0.2971,0.4831
201,0.3043,0.5217,0.442,0.5725,0.4928,0.5072,0.5797,0.2971,0.4638,0.5797,0.2971,0.4646
202,0.3043,0.5217,0.442,0.5725,0.4928,0.5072,0.5797,0.5,0.4638,0.5797,0.3043,0.4871
203,0.5,0.5217,0.442,0.5725,0.4928,0.4348,0.471,0.4855,0.4638,0.5725,0.4348,0.4871
204,0.5,0.5217,0.442,0.5725,0.4928,0.4348,0.471,0.3768,0.4638,0.5725,0.3768,0.475
205,0.442,0.5217,0.442,0.6522,0.4928,0.3841,0.471,0.3768,0.471,0.6522,0.3768,0.4726
206,0.3551,0.5217,0.442,0.6522,0.2464,0.3841,0.471,0.3768,0.471,0.6522,0.2464,0.4356
207,0.4493,0.5145,0.442,0.6522,0.2464,0.3841,0.471,0.3768,0.471,0.6522,0.2464,0.4453
208,0.4493,0.5145,0.442,0.6522,0.2464,0.3768,0.471,0.3768,0.4638,0.6522,0.2464,0.4436
209,0.4493,0.5145,0.5435,0.6522,0.5507,0.3768,0.471,0.3768,0.442,0.6522,0.3768,0.4863
210,0.4493,0.5145,0.5435,0.6522,0.5507,0.3768,0.471,0.0,0.3768,0.6522,0.3768,0.4372
211,0.4493,0.5145,0.5435,0.6522,0.5507,0.3768,0.471,0.4638,0.3768,0.6522,0.3768,0.4887
212,0.4493,0.5145,0.5435,0.6522,0.5507,0.3768,0.471,0.2826,0.3768,0.6522,0.2826,0.4686
